floor,west,east
1,229,219
2,255,244
3,262,252
4,263,253
5,271,261
6,272,262
7,273,263
8,274,264
9,274,264
10,275,265
11,275,265
12,276,266
13,276,266
14,276,266
15,279,269
16,280,270
17,280,270
18,276,266
19,276,266
20,275,265
21,264,254
