floor,west,east
1,,210
2,,231
3,,238
4,,239
5,,246
6,,247
7,,247
8,,248
9,,249
10,,249
11,,249
12,,250
13,,250
14,,250
15,,253
16,,253
17,,253
18,,250
19,,250
20,,250
21,,240
