floor,west,east
1,236,243
2,261,268
3,268,276
4,270,277
5,277,285
6,278,286
7,279,287
8,280,288
9,281,288
10,281,289
11,282,289
12,282,289
13,282,289
14,282,289
15,286,293
16,286,293
17,286,294
18,282,290
19,282,290
20,282,289
21,270,278
