floor,west,east
1,197,209
2,218,231
3,225,237
4,226,238
5,232,245
6,234,246
7,234,247
8,235,248
9,236,248
10,236,249
11,236,249
12,237,249
13,237,249
14,237,249
15,240,252
16,240,252
17,240,253
18,237,249
19,237,249
20,227,240
