floor,west,east
1,232,241
2,257,266
3,265,273
4,266,275
5,273,282
6,275,283
7,276,284
8,276,285
9,277,286
10,278,286
11,278,287
12,278,287
13,278,287
14,278,287
15,282,291
16,282,291
17,282,291
18,279,287
19,278,287
20,278,287
21,267,275
