floor,west,east
1,232,237
2,257,262
3,265,270
4,266,271
5,273,278
6,275,280
7,276,281
8,276,281
9,277,282
10,278,283
11,278,283
12,278,283
13,278,283
14,278,283
15,282,287
16,282,287
17,282,287
18,279,284
19,278,283
20,278,283
21,267,272
