floor,west,east
1,232,
2,258,
3,265,
4,267,
5,274,
6,275,
7,276,
8,277,
9,278,
10,279,
11,279,
12,279,
13,279,
14,279,
15,283,
16,283,
17,283,
18,280,
19,279,
20,279,
21,267,
